,user_id,device_id,user_created_ts,device_event_ts,channel,campaign,campaign_event_ts,rn
0,0,1.0,2017-02-15 19:39:00,2017-02-15 10:19:00,campaign,I5UB5Y,2017-02-15 10:19:00,1
1,1,2.0,2016-05-11 22:44:00,2016-05-11 08:09:00,organic,,,1
2,2,4.0,2016-09-22 22:25:00,2016-09-22 06:29:00,campaign,VR88YD,2016-09-22 06:28:00,1
3,3,6.0,2016-07-11 10:36:00,2016-07-11 06:16:00,campaign,72C6Y3,2016-07-11 06:16:00,1
4,4,7.0,2015-02-23 20:42:00,2015-02-23 19:38:00,campaign,TI1ZOJ,2015-02-23 19:38:00,1
5,5,8.0,2017-01-24 00:13:00,2017-01-23 11:23:00,organic,,,1
6,6,9.0,2015-02-22 19:41:00,2015-02-22 15:21:00,organic,,,1
7,7,10.0,2016-10-05 14:45:00,2016-10-05 07:57:00,organic,,,1
8,8,10.0,2016-12-10 18:55:00,,organic,,,1
9,9,11.0,2015-11-14 23:53:00,2015-11-14 10:27:00,campaign,EH7LXL,2015-11-14 10:27:00,1
10,10,12.0,2016-08-18 04:55:00,2016-08-17 20:39:00,organic,,,1
11,11,16.0,2016-05-29 14:11:00,2016-05-29 03:46:00,organic,,,1
12,12,17.0,2017-01-15 04:21:00,2017-01-15 01:52:00,campaign,GCP82I,2017-01-15 01:51:00,1
13,13,17.0,2017-02-20 02:15:00,,organic,,,1
14,14,20.0,2015-06-07 20:25:00,2015-06-07 12:36:00,campaign,98WM2K,2015-06-07 12:36:00,1
15,15,21.0,2016-12-30 21:28:00,2016-12-30 09:31:00,campaign,5MNE1Q,2016-12-30 09:31:00,1
16,16,23.0,2016-05-12 06:05:00,2016-05-11 18:05:00,campaign,705605,2016-05-11 18:05:00,1
17,17,24.0,2016-07-24 19:58:00,2016-07-24 05:59:00,organic,,,1
18,18,25.0,2016-10-27 00:47:00,2016-10-26 10:17:00,campaign,88UQUQ,2016-10-26 10:17:00,1
19,19,27.0,2016-07-03 13:09:00,2016-07-03 01:39:00,campaign,7377FX,2016-07-03 01:38:00,1
20,20,27.0,2017-02-14 00:14:00,,organic,,,1
21,21,28.0,2016-07-02 07:58:00,2016-07-01 23:30:00,campaign,VOR12L,2016-07-01 23:29:00,1
22,22,31.0,2017-02-27 11:07:00,2017-02-27 01:25:00,organic,,,1
23,23,32.0,2015-05-29 02:12:00,2015-05-28 11:57:00,organic,,,1
24,24,34.0,2014-11-03 19:44:00,2014-11-03 10:14:00,campaign,ZZGRSM,2014-11-03 10:13:00,1
25,25,35.0,2015-12-18 05:19:00,2015-12-17 19:17:00,campaign,1BRIGC,2015-12-17 19:17:00,1
26,26,39.0,2016-02-06 04:18:00,2016-02-05 16:00:00,campaign,83RCJF,2016-02-05 16:00:00,1
27,27,41.0,2016-07-20 03:21:00,2016-07-19 13:20:00,campaign,RK2JMQ,2016-07-19 13:20:00,1
28,28,42.0,2016-12-21 02:41:00,2016-12-20 19:03:00,organic,,,1
29,29,44.0,2015-09-25 02:07:00,2015-09-24 10:36:00,organic,,,1
30,30,45.0,2016-07-02 18:23:00,2016-07-02 14:28:00,campaign,ZDNTT7,2016-07-02 14:27:00,1
31,31,46.0,2015-05-20 14:42:00,2015-05-20 12:39:00,campaign,A20MP6,2015-05-20 12:39:00,1
32,32,47.0,2014-01-13 15:26:00,2014-01-13 12:42:00,campaign,QE0LB4,2014-01-13 12:42:00,1
33,33,48.0,2016-12-09 06:29:00,2016-12-08 13:54:00,organic,,,1
34,34,48.0,2016-12-19 03:03:00,,organic,,,1
35,35,49.0,2016-03-22 06:50:00,2016-03-22 03:39:00,campaign,LASSQ7,2016-03-22 03:39:00,1
36,36,50.0,2016-04-16 22:40:00,2016-04-16 16:50:00,campaign,7377FX,2016-04-16 16:50:00,1
37,37,52.0,2016-07-16 00:56:00,2016-07-15 18:54:00,campaign,6H7SPL,2016-07-15 18:54:00,1
38,38,53.0,2016-12-16 09:26:00,2016-12-16 09:22:00,organic,,,1
39,39,55.0,2016-04-24 18:37:00,2016-04-24 14:48:00,campaign,Q9M5DZ,2016-04-24 14:48:00,1
40,40,57.0,2016-10-01 14:39:00,2016-10-01 13:52:00,organic,,,1
41,41,59.0,2016-05-05 15:41:00,2016-05-05 10:50:00,organic,,,1
42,42,60.0,2016-11-30 16:23:00,2016-11-30 00:19:00,organic,,,1
43,43,62.0,2016-06-10 22:43:00,2016-06-10 11:43:00,campaign,1TZQDZ,2016-06-10 11:42:00,1
44,44,64.0,2014-11-14 08:06:00,2014-11-14 04:38:00,campaign,ZGJ4CZ,2014-11-14 04:37:00,1
45,45,67.0,2016-08-22 03:14:00,2016-08-21 21:05:00,campaign,ZBW0OM,2016-08-21 21:05:00,1
46,46,68.0,2015-02-05 14:28:00,2015-02-05 09:31:00,campaign,XGB35V,2015-02-05 09:31:00,1
47,47,70.0,2017-01-27 15:41:00,2017-01-27 08:23:00,campaign,XUL7TT,2017-01-27 08:23:00,1
48,48,71.0,2014-10-28 08:01:00,2014-10-27 20:59:00,campaign,D8IC8B,2014-10-27 20:59:00,1
49,49,72.0,2016-04-25 05:36:00,2016-04-24 19:48:00,organic,,,1
50,50,74.0,2016-01-08 07:08:00,2016-01-07 18:40:00,campaign,D8IC8B,2016-01-07 18:40:00,1
51,51,75.0,2015-10-28 23:15:00,2015-10-28 11:27:00,organic,,,1
52,52,78.0,2016-12-30 15:27:00,2016-12-30 09:06:00,organic,,,1
53,53,79.0,2017-01-25 04:33:00,2017-01-24 14:12:00,organic,,,1
54,54,80.0,2015-04-03 21:48:00,2015-04-03 08:28:00,organic,,,1
55,55,81.0,2016-11-15 16:25:00,2016-11-15 05:35:00,campaign,RVHAGO,2016-11-15 05:35:00,1
56,56,82.0,2016-12-25 05:26:00,2016-12-24 22:44:00,organic,,,1
57,57,82.0,2017-01-09 00:56:00,,organic,,,1
58,58,83.0,2016-02-06 11:32:00,2016-02-06 02:57:00,organic,,,1
59,59,83.0,2016-12-03 07:09:00,,organic,,,1
60,60,84.0,2016-12-17 10:36:00,2016-12-17 05:45:00,organic,,,1
61,61,85.0,2016-03-12 06:26:00,2016-03-11 14:23:00,campaign,QY02HA,2016-03-11 14:22:00,1
62,62,87.0,2016-11-20 00:05:00,2016-11-19 10:04:00,campaign,9VTGJV,2016-11-19 10:03:00,1
63,63,88.0,2016-02-24 05:07:00,2016-02-23 20:38:00,campaign,Q9M5DZ,2016-02-23 20:38:00,1
64,64,88.0,2016-06-04 03:32:00,,organic,,,1
65,65,89.0,2017-01-18 12:54:00,2017-01-18 07:56:00,campaign,AKO0SH,2017-01-18 07:56:00,1
66,66,90.0,2015-08-12 06:15:00,2015-08-12 00:18:00,organic,,,1
67,67,92.0,2015-08-23 19:05:00,2015-08-23 18:43:00,organic,,,1
68,68,94.0,2014-12-10 01:01:00,2014-12-09 15:30:00,campaign,HLWXVF,2014-12-09 15:30:00,1
69,69,95.0,2017-03-01 02:43:00,2017-02-28 13:38:00,campaign,VOR12L,2017-02-28 13:38:00,1
70,70,96.0,2015-11-26 13:25:00,2015-11-26 04:29:00,organic,,,1
71,71,97.0,2015-02-19 16:59:00,2015-02-19 06:00:00,campaign,BW2R0T,2015-02-19 06:00:00,1
72,72,98.0,2016-11-28 16:29:00,2016-11-28 14:40:00,campaign,YEB8I4,2016-11-28 14:40:00,1
73,73,101.0,2016-10-10 15:04:00,2016-10-10 06:19:00,organic,,,1
74,74,102.0,2016-11-03 22:00:00,2016-11-03 13:16:00,campaign,OGMRY2,2016-11-03 13:16:00,1
75,75,103.0,2015-01-23 03:51:00,2015-01-23 01:33:00,campaign,CXY554,2015-01-23 01:33:00,1
76,76,106.0,2015-11-27 22:10:00,2015-11-27 18:43:00,campaign,83RCJF,2015-11-27 18:43:00,1
77,77,108.0,2016-04-25 16:15:00,2016-04-25 01:31:00,campaign,DGLPMQ,2016-04-25 01:31:00,1
78,78,110.0,2016-12-23 11:59:00,2016-12-23 05:01:00,campaign,Q9M5DZ,2016-12-23 05:01:00,1
79,79,111.0,2017-02-24 10:10:00,2017-02-23 18:35:00,organic,,,1
80,80,112.0,2015-01-03 05:30:00,2015-01-02 22:50:00,campaign,6HBW2A,2015-01-02 22:50:00,1
81,81,115.0,2015-12-07 12:24:00,2015-12-07 00:21:00,campaign,U6S82Y,2015-12-07 00:21:00,1
82,82,116.0,2015-03-04 15:49:00,2015-03-04 14:55:00,organic,,,1
83,83,119.0,2017-01-09 20:39:00,2017-01-09 11:46:00,organic,,,1
84,84,120.0,2014-08-02 05:44:00,2014-08-01 17:41:00,campaign,RK2JMQ,2014-08-01 17:41:00,1
85,85,122.0,2016-02-10 02:25:00,2016-02-09 14:36:00,organic,,,1
86,86,123.0,2016-01-20 06:14:00,2016-01-19 16:57:00,organic,,,1
87,87,124.0,2016-10-24 15:27:00,2016-10-23 22:47:00,campaign,VX597U,2016-10-23 22:47:00,1
88,88,128.0,2013-12-27 11:09:00,2013-12-27 03:27:00,campaign,T8RNOQ,2013-12-27 03:27:00,1
89,89,128.0,2016-02-17 07:41:00,,organic,,,1
90,90,130.0,2015-12-24 10:49:00,2015-12-23 21:44:00,organic,,,1
91,91,131.0,2016-05-24 11:43:00,2016-05-24 05:47:00,campaign,9NCC6I,2016-05-24 05:46:00,1
92,92,132.0,2016-06-13 19:38:00,2016-06-13 14:15:00,organic,,,1
93,93,133.0,2015-10-06 06:34:00,2015-10-06 02:43:00,campaign,YUHQJ6,2015-10-06 02:43:00,1
94,94,133.0,2016-08-15 01:31:00,,organic,,,1
95,95,134.0,2017-02-20 19:01:00,2017-02-20 18:59:00,campaign,CXY554,2017-02-20 18:59:00,1
96,96,135.0,2017-03-01 00:56:00,2017-02-28 21:00:00,campaign,ZDNTT7,2017-02-28 21:00:00,1
97,97,135.0,2017-02-28 21:42:00,2017-02-28 21:00:00,campaign,ZDNTT7,2017-02-28 21:00:00,1
98,98,136.0,2017-01-08 19:59:00,2017-01-08 09:01:00,campaign,Q9M5DZ,2017-01-08 09:01:00,1
99,99,140.0,2015-02-14 02:39:00,2015-02-13 12:50:00,campaign,RK2JMQ,2015-02-13 12:50:00,1
100,100,141.0,2014-12-10 03:54:00,2014-12-09 17:42:00,campaign,1TNQYO,2014-12-09 17:42:00,1
101,101,142.0,2016-02-01 00:51:00,2016-01-31 16:20:00,organic,,,1
102,102,144.0,2014-10-19 14:01:00,2014-10-19 12:30:00,campaign,3DNOOD,2014-10-19 12:30:00,1
103,103,145.0,2016-10-11 03:09:00,2016-10-10 10:58:00,campaign,6H7SPL,2016-10-10 10:58:00,1
104,104,146.0,2014-07-26 15:08:00,2014-07-26 02:33:00,campaign,DGLPMQ,2014-07-26 02:33:00,1
105,105,146.0,2016-09-25 22:56:00,,organic,,,1
106,106,147.0,2016-07-22 23:46:00,2016-07-22 22:37:00,campaign,VX597U,2016-07-22 22:37:00,1
107,107,148.0,2014-08-10 00:11:00,2014-08-09 19:23:00,campaign,YEB8I4,2014-08-09 19:22:00,1
108,108,153.0,2016-03-19 15:26:00,2016-03-19 04:16:00,organic,,,1
109,109,154.0,2015-11-08 15:15:00,2015-11-07 23:07:00,organic,,,1
110,110,155.0,2015-07-03 02:43:00,2015-07-02 16:32:00,organic,,,1
111,111,156.0,2016-05-08 02:59:00,2016-05-07 18:28:00,organic,,,1
112,112,159.0,2016-10-15 01:29:00,2016-10-14 23:38:00,organic,,,1
113,113,160.0,2014-08-26 10:48:00,2014-08-26 05:05:00,organic,,,1
114,114,162.0,2016-04-04 13:01:00,2016-04-04 09:30:00,campaign,BW2R0T,2016-04-04 09:30:00,1
115,115,162.0,2016-07-11 20:25:00,,organic,,,1
116,116,163.0,2016-12-31 14:57:00,2016-12-31 03:00:00,organic,,,1
117,117,165.0,2016-08-01 07:37:00,2016-07-31 16:23:00,organic,,,1
118,118,166.0,2015-03-31 07:51:00,2015-03-30 18:23:00,organic,,,1
119,119,167.0,2016-08-14 19:20:00,2016-08-14 10:58:00,organic,,,1
120,120,168.0,2016-11-21 04:23:00,2016-11-20 18:31:00,organic,,,1
121,121,169.0,2016-04-30 19:52:00,2016-04-30 12:18:00,campaign,1UV5W9,2016-04-30 12:18:00,1
122,122,170.0,2015-04-28 10:15:00,2015-04-27 20:05:00,campaign,6H7SPL,2015-04-27 20:05:00,1
123,123,171.0,2016-12-19 19:03:00,2016-12-19 16:01:00,campaign,ZZGRSM,2016-12-19 16:00:00,1
124,124,171.0,2017-02-20 16:28:00,,organic,,,1
125,125,172.0,2016-07-02 17:39:00,2016-07-02 15:32:00,campaign,DGLPMQ,2016-07-02 15:32:00,1
126,126,173.0,2017-01-28 16:00:00,2017-01-28 00:53:00,organic,,,1
127,127,174.0,2016-11-24 06:42:00,2016-11-24 00:00:00,campaign,RVHAGO,2016-11-24 00:00:00,1
128,128,175.0,2016-06-09 08:05:00,2016-06-08 17:37:00,campaign,IWTQ5T,2016-06-08 17:37:00,1
129,129,175.0,2016-11-18 16:53:00,,organic,,,1
130,130,176.0,2015-11-26 13:59:00,2015-11-26 10:26:00,campaign,OKAJCV,2015-11-26 10:26:00,1
131,131,177.0,2015-03-26 10:10:00,2015-03-26 09:25:00,campaign,D8IC8B,2015-03-26 09:25:00,1
132,132,178.0,2016-01-14 11:05:00,2016-01-14 00:05:00,campaign,6R883F,2016-01-14 00:05:00,1
133,133,179.0,2015-11-21 16:29:00,2015-11-21 04:33:00,campaign,TVGAEO,2015-11-21 04:33:00,1
134,134,180.0,2016-11-10 18:47:00,2016-11-10 13:15:00,campaign,OGMRY2,2016-11-10 13:15:00,1
135,135,181.0,2016-11-21 11:56:00,2016-11-21 06:22:00,organic,,,1
136,136,182.0,2016-12-31 23:47:00,2016-12-31 19:19:00,organic,,,1
137,137,183.0,2014-09-12 20:36:00,2014-09-12 09:19:00,campaign,0837KH,2014-09-12 09:19:00,1
138,138,185.0,2016-01-07 10:58:00,2016-01-07 04:28:00,organic,,,1
139,139,186.0,2015-12-21 02:47:00,2015-12-20 15:30:00,campaign,RU7BDI,2015-12-20 15:29:00,1
140,140,188.0,2017-01-03 22:33:00,2017-01-03 20:48:00,campaign,1BRIGC,2017-01-03 20:47:00,1
141,141,189.0,2016-11-10 02:15:00,2016-11-10 01:59:00,organic,,,1
142,142,190.0,2015-10-31 01:46:00,2015-10-30 21:11:00,organic,,,1
143,143,192.0,2016-12-28 08:39:00,2016-12-28 03:32:00,organic,,,1
144,144,193.0,2013-11-13 04:51:00,2013-11-12 16:19:00,organic,,,1
145,145,195.0,2016-02-27 15:39:00,2016-02-27 00:23:00,organic,,,1
146,146,197.0,2016-01-31 12:00:00,2016-01-31 11:56:00,campaign,E35Y1Z,2016-01-31 11:56:00,1
147,147,198.0,2015-01-31 23:19:00,2015-01-31 20:38:00,campaign,5IHLGC,2015-01-31 20:38:00,1
148,148,199.0,2016-02-11 09:06:00,2016-02-11 03:33:00,campaign,EH7LXL,2016-02-11 03:32:00,1
149,149,201.0,2016-03-20 14:19:00,2016-03-20 11:21:00,campaign,ZBW0OM,2016-03-20 11:21:00,1
150,150,202.0,2016-10-19 12:39:00,2016-10-19 03:21:00,organic,,,1
151,151,203.0,2016-07-09 02:38:00,2016-07-08 19:43:00,campaign,88UQUQ,2016-07-08 19:43:00,1
152,152,206.0,2015-11-21 19:39:00,2015-11-21 19:20:00,campaign,ZDNTT7,2015-11-21 19:20:00,1
153,153,207.0,2016-01-06 16:33:00,2016-01-06 13:33:00,campaign,1BRIGC,2016-01-06 13:33:00,1
154,154,210.0,2017-02-14 22:29:00,2017-02-14 07:38:00,organic,,,1
