,sale_id,sale_ts,sale_date,weekday,user_id,amount,rn,first_purchase_flag,device_id,device_type,operating_system,num_items,campaign,campaign_event_ts,channel,sale_year,sale_month,sale_week
0,0,2013-11-05 14:33:00,2013-11-05,1,3219,2361.6183986341557,1,1,4573.0,Amazon Fire,Fire1,1,6HBW2A,2013-10-14 01:00:00,campaign,2013,11,45
1,1,2013-11-18 12:23:00,2013-11-18,0,144,215.86716569709262,1,1,193.0,iOS,7,1,,,organic,2013,11,47
2,2,2013-11-20 23:40:00,2013-11-20,2,2884,502.8721842834016,1,1,4075.0,iOS,8,2,QE0LB4,2013-11-06 03:14:00,campaign,2013,11,47
3,3,2013-11-22 15:37:00,2013-11-22,4,2155,2316.966268215693,1,1,3053.0,iOS,9,2,,,organic,2013,11,47
4,4,2013-11-24 12:33:00,2013-11-24,6,2155,1243.2624767658126,1,0,3053.0,iOS,9,2,,,organic,2013,11,47
5,5,2013-12-03 03:56:00,2013-12-03,1,2817,659.8762570026022,1,1,3996.0,Android,Lollipop,6,,,organic,2013,12,49
6,6,2013-12-04 00:34:00,2013-12-04,2,144,273.0499671406481,1,0,193.0,iOS,7,2,,,organic,2013,12,49
7,7,2013-12-12 08:01:00,2013-12-12,3,2850,263.49592529424064,1,1,4036.0,iOS,7,9,PVPBJ0,2013-11-13 04:26:00,campaign,2013,12,50
8,8,2013-12-13 04:57:00,2013-12-13,4,144,400.14299481444914,1,0,193.0,iOS,7,8,,,organic,2013,12,50
9,9,2013-12-13 08:59:00,2013-12-13,4,2817,800.7598466561141,1,0,3996.0,Android,Lollipop,2,,,organic,2013,12,50
10,10,2013-12-17 15:19:00,2013-12-17,1,2075,1412.245761844591,1,1,2925.0,iOS,20,2,,,organic,2013,12,51
11,11,2013-12-19 10:48:00,2013-12-19,3,2546,1710.885553584875,1,1,3582.0,iOS,20,3,,,organic,2013,12,51
12,12,2013-12-21 08:02:00,2013-12-21,5,2687,49.4758559501965,1,1,3791.0,Android,Lollipop,8,TI1ZOJ,2013-11-12 08:46:00,campaign,2013,12,51
13,13,2013-12-31 11:51:00,2013-12-31,1,170,1359.1011851578498,1,1,228.0,Amazon Fire,Inferno,1,,,organic,2013,12,1
14,14,2014-01-02 04:43:00,2014-01-02,3,2546,1736.5652152858127,1,0,3582.0,iOS,20,1,,,organic,2014,1,1
15,15,2014-01-03 21:44:00,2014-01-03,4,1963,2464.8408998745736,1,1,2762.0,Android,Marshmallow,1,,,organic,2014,1,1
16,16,2014-01-07 16:28:00,2014-01-07,1,144,188.53162512708028,1,0,193.0,iOS,7,2,,,organic,2014,1,2
17,17,2014-01-09 02:08:00,2014-01-09,3,1825,1370.8091573368256,1,1,2557.0,Amazon Fire,Inferno,5,C4KVI2,2013-11-29 21:19:00,campaign,2014,1,2
18,18,2014-01-12 08:18:00,2014-01-12,6,144,143.54405588552262,1,0,193.0,iOS,7,2,,,organic,2014,1,2
19,19,2014-01-12 20:20:00,2014-01-12,6,2155,1168.8981662569465,1,0,3053.0,iOS,9,2,,,organic,2014,1,2
20,20,2014-01-13 00:51:00,2014-01-13,0,2546,2252.8680085285932,1,0,3582.0,iOS,20,2,,,organic,2014,1,3
21,21,2014-01-14 22:35:00,2014-01-14,1,144,403.938410147584,1,0,193.0,iOS,7,1,,,organic,2014,1,3
22,22,2014-01-21 22:20:00,2014-01-21,1,2155,2123.6356879257282,1,0,3053.0,iOS,9,2,,,organic,2014,1,4
23,23,2014-01-22 10:07:00,2014-01-22,2,144,176.08184391349653,1,0,193.0,iOS,7,3,,,organic,2014,1,4
24,24,2014-01-24 12:43:00,2014-01-24,4,3182,1060.69949040642,1,1,4518.0,iOS,7,2,,,organic,2014,1,4
25,25,2014-01-28 12:51:00,2014-01-28,1,3343,681.4384076098385,1,1,4766.0,Android,KitKat,2,1BRIGC,2014-01-11 21:08:00,campaign,2014,1,5
26,26,2014-01-29 23:57:00,2014-01-29,2,170,812.256112116925,1,0,228.0,Amazon Fire,Inferno,2,,,organic,2014,1,5
27,27,2014-01-29 10:06:00,2014-01-29,2,2155,1357.7623550282988,1,0,3053.0,iOS,9,2,,,organic,2014,1,5
28,28,2014-01-31 12:29:00,2014-01-31,4,2793,915.6572761924413,1,1,3953.0,iOS,8,2,MOTVAN,2013-11-03 17:18:00,campaign,2014,1,5
29,29,2014-02-04 11:55:00,2014-02-04,1,1564,140.3151460093982,1,1,2192.0,Amazon Fire,Fire1,1,,,organic,2014,2,6
30,30,2014-02-05 14:18:00,2014-02-05,2,2250,230.4222614400163,1,1,3181.0,Android,Marshmallow,7,,,organic,2014,2,6
31,31,2014-02-06 19:49:00,2014-02-06,3,3083,1106.3864478962494,1,0,4374.0,iOS,10,2,JFJFGZ,2013-10-19 14:44:00,campaign,2014,2,6
32,32,2014-02-09 19:45:00,2014-02-09,6,2075,785.0357779885829,1,0,2925.0,iOS,20,2,,,organic,2014,2,6
33,33,2014-02-10 00:49:00,2014-02-10,0,144,211.22701145351837,1,0,193.0,iOS,7,6,,,organic,2014,2,7
34,34,2014-02-14 18:06:00,2014-02-14,4,829,406.3830780061497,1,1,1115.0,iOS,20,4,,,organic,2014,2,7
35,35,2014-02-17 05:26:00,2014-02-17,0,144,203.55758611182068,1,0,193.0,iOS,7,1,,,organic,2014,2,8
36,36,2014-02-19 22:32:00,2014-02-19,2,3182,555.6853899709585,1,0,4518.0,iOS,7,3,,,organic,2014,2,8
37,37,2014-02-24 07:24:00,2014-02-24,0,3182,718.8622992811928,1,0,4518.0,iOS,7,1,,,organic,2014,2,9
38,38,2014-02-25 02:12:00,2014-02-25,1,2075,1366.3951796984668,1,0,2925.0,iOS,20,1,,,organic,2014,2,9
39,39,2014-02-26 03:43:00,2014-02-26,2,144,149.3630123687766,1,0,193.0,iOS,7,8,,,organic,2014,2,9
40,40,2014-02-27 17:04:00,2014-02-27,3,144,139.12008556830446,1,0,193.0,iOS,7,5,,,organic,2014,2,9
41,41,2014-02-27 13:07:00,2014-02-27,3,3182,553.728073876621,1,0,4518.0,iOS,7,6,,,organic,2014,2,9
42,42,2014-03-03 11:53:00,2014-03-03,0,88,119.43961057157804,1,0,128.0,Android,Jawbreaker,1,T8RNOQ,2013-12-27 03:27:00,campaign,2014,3,10
43,43,2014-03-06 06:16:00,2014-03-06,3,968,786.0535559395056,1,1,1315.0,Android,KitKat,2,,,organic,2014,3,10
44,44,2014-03-07 15:28:00,2014-03-07,4,3399,1387.2674836816195,1,1,4872.0,Android,Jawbreaker,2,9VTGJV,2013-12-29 10:06:00,campaign,2014,3,10
45,45,2014-03-10 22:43:00,2014-03-10,0,268,827.0701199171623,1,1,380.0,Android,Lollipop,1,,,organic,2014,3,11
46,46,2014-03-10 05:29:00,2014-03-10,0,2250,406.8867298735923,1,0,3181.0,Android,Marshmallow,2,,,organic,2014,3,11
47,47,2014-03-12 12:16:00,2014-03-12,2,331,1535.4980327491928,1,1,467.0,iOS,20,1,,,organic,2014,3,11
48,48,2014-03-12 09:57:00,2014-03-12,2,1564,105.04178273763675,1,0,2192.0,Amazon Fire,Fire1,7,,,organic,2014,3,11
49,49,2014-03-12 19:55:00,2014-03-12,2,3182,609.9791033629665,1,0,4518.0,iOS,7,1,,,organic,2014,3,11
50,50,2014-03-15 14:55:00,2014-03-15,5,144,39.94515277789881,1,0,193.0,iOS,7,5,,,organic,2014,3,11
51,51,2014-03-16 22:10:00,2014-03-16,6,1652,287.54175690249036,1,1,2309.0,iOS,10,3,0837KH,2014-02-02 00:27:00,campaign,2014,3,11
52,52,2014-03-18 22:11:00,2014-03-18,1,1220,424.5934043621013,1,1,1683.0,iOS,7,7,VOR12L,2014-03-15 02:17:00,campaign,2014,3,12
53,53,2014-03-19 07:09:00,2014-03-19,2,3343,398.54796709916144,1,0,4766.0,Android,KitKat,7,1BRIGC,2014-01-11 21:08:00,campaign,2014,3,12
54,54,2014-03-21 05:46:00,2014-03-21,4,3182,925.3063002954508,1,0,4518.0,iOS,7,2,,,organic,2014,3,12
55,55,2014-04-01 11:29:00,2014-04-01,1,1564,60.76544570726226,1,0,2192.0,Amazon Fire,Fire1,1,,,organic,2014,4,14
56,56,2014-04-02 14:15:00,2014-04-02,2,1564,4.5,1,0,2192.0,Amazon Fire,Fire1,4,,,organic,2014,4,14
57,57,2014-04-02 14:14:00,2014-04-02,2,2155,1389.2399994684972,1,0,3053.0,iOS,9,2,,,organic,2014,4,14
58,58,2014-04-06 21:57:00,2014-04-06,6,144,240.51678835851945,1,0,193.0,iOS,7,4,,,organic,2014,4,14
59,59,2014-04-07 11:03:00,2014-04-07,0,144,97.47732496538715,1,0,193.0,iOS,7,2,,,organic,2014,4,15
60,60,2014-04-08 14:09:00,2014-04-08,1,2155,2140.0171738795443,1,0,3053.0,iOS,9,2,,,organic,2014,4,15
61,61,2014-04-12 22:08:00,2014-04-12,5,144,109.4649518942297,1,0,193.0,iOS,7,2,,,organic,2014,4,15
62,62,2014-04-13 14:22:00,2014-04-13,6,957,19.83733458011127,1,1,1296.0,Android,KitKat,2,,,organic,2014,4,15
63,63,2014-04-14 22:42:00,2014-04-14,0,144,144.92923691228657,1,0,193.0,iOS,7,2,,,organic,2014,4,16
64,64,2014-04-15 02:27:00,2014-04-15,1,2546,2873.6198289798967,1,0,3582.0,iOS,20,1,,,organic,2014,4,16
65,65,2014-04-16 11:44:00,2014-04-16,2,934,1491.976257424945,1,1,1261.0,Android,KitKat,2,OGMRY2,2014-04-10 12:08:00,campaign,2014,4,16
66,66,2014-04-19 09:16:00,2014-04-19,5,514,740.0724297390727,1,1,695.0,Android,Lollipop,1,XUL7TT,2014-01-09 07:25:00,campaign,2014,4,16
67,67,2014-04-22 05:43:00,2014-04-22,1,2285,160.4980490453005,1,1,3232.0,Android,Marshmallow,2,6HBW2A,2014-03-22 00:07:00,campaign,2014,4,17
